benchmark,power_2standard_mW,power_hybrid_mW,cycles_2standard,cycles_hybrid,int_mul_ops_2standard,int_mul_ops_hybrid,eop_2standard_pJ,eop_hybrid_pJ,hybrid_minus_2standard_pJ_per_op,hybrid_delta_percent
complex_mul_vec,8.28929158,7.39347994,109170,109170,2048,2048,441866.192280,394114.357934,-47751.834346,-10.806854
fft_butterfly,8.35169996,7.45703880,84951,84951,1024,1024,692856.702443,618635.647557,-74221.054886,-10.712324
fft_butterfly_latency_hidden_mule,8.33314691,7.46215293,86993,87249,1024,1024,707935.008927,635806.036123,-72128.972804,-10.188643
fir_unrolled_latency_hidden_mule,8.71725369,7.82746974,185715,214443,16128,16128,1003.797600,1040.765187,36.967587,3.682773
