window_index,start_ps,end_ps,toggled_bits,toggle_events
16491,1319280000,1319360000,15677,3129
16492,1319360000,1319440000,17784,3305
16493,1319440000,1319520000,21509,4006
16494,1319520000,1319600000,17771,3593
16495,1319600000,1319680000,15254,3022
16496,1319680000,1319760000,18421,3437
16497,1319760000,1319840000,21961,4114
16498,1319840000,1319920000,16555,3568
16499,1319920000,1320000000,13195,2584
16500,1320000000,1320080000,19730,3776
16501,1320080000,1320160000,22318,4149
16502,1320160000,1320240000,16982,3556
16503,1320240000,1320320000,12686,2364
16504,1320320000,1320400000,21735,3987
16505,1320400000,1320480000,23766,4307
16506,1320480000,1320560000,16555,3482
16507,1320560000,1320640000,12444,2294
16508,1320640000,1320720000,20680,3970
16509,1320720000,1320800000,22718,4215
16510,1320800000,1320880000,16167,3361
16511,1320880000,1320960000,13184,2485
16512,1320960000,1321040000,22070,4002
16513,1321040000,1321120000,19399,3891
16514,1321120000,1321200000,16382,3443
16515,1321200000,1321280000,14587,2733
16516,1321280000,1321360000,20038,3992
16517,1321360000,1321440000,19206,3627
16518,1321440000,1321520000,16295,3364
16519,1321520000,1321600000,16724,3081
16520,1321600000,1321680000,22506,4001
16521,1321680000,1321760000,18082,3610
16522,1321760000,1321840000,15798,3129
16523,1321840000,1321920000,18020,3305
16524,1321920000,1322000000,21654,4005
16525,1322000000,1322080000,17917,3590
16526,1322080000,1322160000,15262,3022
16527,1322160000,1322240000,18720,3437
16528,1322240000,1322320000,22848,4107
16529,1322320000,1322400000,16753,3579
16530,1322400000,1322480000,12936,2584
16531,1322480000,1322560000,19192,3775
16532,1322560000,1322640000,22638,4161
16533,1322640000,1322720000,16595,3559
16534,1322720000,1322800000,12617,2364
16535,1322800000,1322880000,21266,3982
16536,1322880000,1322960000,24003,4307
16537,1322960000,1323040000,16274,3483
16538,1323040000,1323120000,12483,2294
16539,1323120000,1323200000,20910,3971
16540,1323200000,1323280000,22832,4222
16541,1323280000,1323360000,16023,3361
16542,1323360000,1323440000,13366,2485
16543,1323440000,1323520000,21831,4005
16544,1323520000,1323600000,20358,3886
16545,1323600000,1323680000,16357,3443
16546,1323680000,1323760000,14363,2733
16547,1323760000,1323840000,20902,3989
16548,1323840000,1323920000,19051,3620
16549,1323920000,1324000000,16162,3364
16550,1324000000,1324080000,16869,3081
16551,1324080000,1324160000,21963,4006
16552,1324160000,1324240000,18447,3617
16553,1324240000,1324320000,15633,3129
16554,1324320000,1324400000,17462,3305
16555,1324400000,1324480000,21435,4012
16556,1324480000,1324560000,17964,3593
16557,1324560000,1324640000,15055,3022
16558,1324640000,1324720000,18122,3437
16559,1324720000,1324800000,22192,4108
16560,1324800000,1324880000,16651,3568
16561,1324880000,1324960000,13066,2584
16562,1324960000,1325040000,19734,3776
16563,1325040000,1325120000,22211,4149
16564,1325120000,1325200000,16818,3556
16565,1325200000,1325280000,12593,2364
16566,1325280000,1325360000,21107,3981
16567,1325360000,1325440000,23506,4307
16568,1325440000,1325520000,16229,3482
