window_index,start_ps,end_ps,toggled_bits,toggle_events
10236,818880000,818960000,17033,3613
10237,818960000,819040000,13072,2694
10238,819040000,819120000,19343,3864
10239,819120000,819200000,22977,4232
10240,819200000,819280000,16746,3600
10241,819280000,819360000,12813,2483
10242,819360000,819440000,21254,4070
10243,819440000,819520000,24088,4370
10244,819520000,819600000,15875,3525
10245,819600000,819680000,12613,2413
10246,819680000,819760000,21242,4064
10247,819760000,819840000,23167,4284
10248,819840000,819920000,15659,3405
10249,819920000,820000000,13609,2604
10250,820000000,820080000,22180,4089
10251,820080000,820160000,20404,3946
10252,820160000,820240000,16172,3517
10253,820240000,820320000,13852,2829
10254,820320000,820400000,21403,4087
10255,820400000,820480000,19630,3661
10256,820480000,820560000,15781,3438
10257,820560000,820640000,16656,3178
10258,820640000,820720000,22268,4096
10259,820720000,820800000,18041,3656
10260,820800000,820880000,15679,3207
10261,820880000,820960000,17941,3400
10262,820960000,821040000,23457,4105
10263,821040000,821120000,18117,3639
10264,821120000,821200000,15564,3108
10265,821200000,821280000,18753,3532
10266,821280000,821360000,22929,4200
10267,821360000,821440000,17123,3618
10268,821440000,821520000,13788,2694
10269,821520000,821600000,20561,3863
10270,821600000,821680000,23264,4226
10271,821680000,821760000,17277,3603
10272,821760000,821840000,13337,2483
10273,821840000,821920000,21884,4071
10274,821920000,822000000,23832,4370
10275,822000000,822080000,16335,3524
10276,822080000,822160000,13079,2413
10277,822160000,822240000,21413,4061
10278,822240000,822320000,23764,4283
10279,822320000,822400000,15993,3405
10280,822400000,822480000,13997,2604
10281,822480000,822560000,22691,4094
10282,822560000,822640000,20693,3933
10283,822640000,822720000,16569,3517
10284,822720000,822800000,14355,2829
10285,822800000,822880000,21881,4084
10286,822880000,822960000,20124,3672
10287,822960000,823040000,16175,3438
10288,823040000,823120000,16650,3178
10289,823120000,823200000,21953,4101
10290,823200000,823280000,17892,3663
10291,823280000,823360000,15728,3207
10292,823360000,823440000,17707,3400
